adjust	n	seed	col	coverage	r2	length
CalPred	0.001	0	marginal	0.9467	0.5752419697767794	0.6519263661685286
CalPred	0.001	1	marginal	0.9501	0.5585564484195538	0.6738064197925778
CalPred	0.001	2	marginal	0.9495	0.564963762438757	0.6513362856485678
CalPred	0.001	3	marginal	0.9551	0.5808924396075589	0.6559331774060182
CalPred	0.001	4	marginal	0.947	0.5582253501843117	0.6598888115008686
CalPred	0.001	5	marginal	0.9446	0.5676318102292909	0.6441936311391367
CalPred	0.001	6	marginal	0.945	0.5508090432138631	0.6637517513000386
CalPred	0.001	7	marginal	0.9543	0.5772150801739108	0.6600644674815783
CalPred	0.001	8	marginal	0.9432	0.5889139935462775	0.6292192815391007
CalPred	0.001	9	marginal	0.9551	0.5902228758636928	0.642248426531646
CalPred	0.001	10	marginal	0.9548	0.5608062979914644	0.6738026647245464
CalPred	0.001	11	marginal	0.9515	0.5526801536678262	0.675244952271256
CalPred	0.001	12	marginal	0.9504	0.5885083114029708	0.6465355832069257
CalPred	0.001	13	marginal	0.9507	0.5563340259143916	0.6695391761304619
CalPred	0.001	14	marginal	0.9499	0.551896197582367	0.6626557454863595
CalPred	0.001	15	marginal	0.9538	0.5607902082100418	0.6653618369213602
CalPred	0.001	16	marginal	0.953	0.5585107510625755	0.6659508219915117
CalPred	0.001	17	marginal	0.9551	0.5858933581186936	0.655908977841577
CalPred	0.001	18	marginal	0.9483	0.5649470104272025	0.6529607623589733
CalPred	0.001	19	marginal	0.9502	0.5053206570445399	0.6997216939183702
CalPred	0.001	20	marginal	0.9515	0.5765831649461293	0.6506122734256119
CalPred	0.001	21	marginal	0.9501	0.5646410870298815	0.6600038745850548
CalPred	0.001	22	marginal	0.9474	0.5539491201882699	0.6716669367449466
CalPred	0.001	23	marginal	0.9478	0.5461650920035939	0.6614719621548837
CalPred	0.001	24	marginal	0.9546	0.5608357445253311	0.6705513739399594
CalPred	0.001	25	marginal	0.952	0.5933347041434449	0.6400817425874605
CalPred	0.001	26	marginal	0.9517	0.5417830981165588	0.6727789793732557
CalPred	0.001	27	marginal	0.9478	0.5372825290560175	0.6775059059084859
CalPred	0.001	28	marginal	0.9535	0.5476431337979183	0.6782493526300916
CalPred	0.001	29	marginal	0.9461	0.5954932614487257	0.6359608659551521
PredInterval	0.001	0	marginal	0.9545	0.585317067591284	1.264170813133138
PredInterval	0.001	0	marginal	0.9603	0.5677876507300185	1.4607898930993266
PredInterval	0.001	0	marginal	0.9538	0.5790506661134152	1.4258639663494217
PredInterval	0.001	0	marginal	0.9635	0.5967541034266006	1.0307835304652966
PredInterval	0.001	0	marginal	0.9608	0.5714048800283063	1.0748968368677858
PredInterval	0.001	0	marginal	0.9588	0.5763915098969957	1.1653604832396798
PredInterval	0.001	0	marginal	0.9595	0.5656412829098149	1.0621725829542104
PredInterval	0.001	0	marginal	0.9628	0.590455015878797	1.0336095724461398
PredInterval	0.001	0	marginal	0.9575	0.6006381262884283	1.1739859145616962
PredInterval	0.001	0	marginal	0.9604	0.6023984792781432	1.1901582240953537
PredInterval	0.001	0	marginal	0.9617	0.5745333930735557	1.2257602092830553
PredInterval	0.001	0	marginal	0.9644	0.5681374545163576	1.102490052038802
PredInterval	0.001	0	marginal	0.9595	0.601672376844564	1.0892247877531078
PredInterval	0.001	0	marginal	0.9646	0.5684366342940336	1.059502964708699
PredInterval	0.001	0	marginal	0.9563	0.5641864867698154	1.285063539454086
PredInterval	0.001	0	marginal	0.9618	0.5728431196982174	1.376477189651796
