adjust	coverage	alpha
CalPred	0.205	0.2
CalPred	0.1979	0.2
CalPred	0.2026	0.2
CalPred	0.1961	0.2
CalPred	0.1932	0.2
CalPred	0.2034	0.2
CalPred	0.2059	0.2
CalPred	0.2024	0.2
CalPred	0.2037	0.2
CalPred	0.1956	0.2
CalPred	0.196	0.2
CalPred	0.2021	0.2
CalPred	0.1968	0.2
CalPred	0.2019	0.2
CalPred	0.2003	0.2
CalPred	0.2006	0.2
CalPred	0.1979	0.2
CalPred	0.1936	0.2
CalPred	0.193	0.2
CalPred	0.2028	0.2
CalPred	0.2022	0.2
CalPred	0.2009	0.2
CalPred	0.2061	0.2
CalPred	0.2017	0.2
CalPred	0.2006	0.2
CalPred	0.2027	0.2
CalPred	0.2044	0.2
CalPred	0.1942	0.2
CalPred	0.1998	0.2
CalPred	0.2035	0.2
PredInterval	0.2008	0.2
PredInterval	0.2033	0.2
PredInterval	0.1946	0.2
PredInterval	0.1926	0.2
PredInterval	0.1894	0.2
PredInterval	0.1896	0.2
PredInterval	0.1878	0.2
PredInterval	0.188	0.2
PredInterval	0.1955	0.2
PredInterval	0.1916	0.2
PredInterval	0.1907	0.2
PredInterval	0.1978	0.2
PredInterval	0.2006	0.2
PredInterval	0.1834	0.2
PredInterval	0.191	0.2
PredInterval	0.1902	0.2
PredInterval	0.1861	0.2
PredInterval	0.1921	0.2
PredInterval	0.1875	0.2
PredInterval	0.1947	0.2
PredInterval	0.1952	0.2
PredInterval	0.1946	0.2
PredInterval	0.1859	0.2
PredInterval	0.1896	0.2
PredInterval	0.2032	0.2
PredInterval	0.2003	0.2
PredInterval	0.198	0.2
PredInterval	0.1873	0.2
PredInterval	0.1923	0.2
PredInterval	0.1952	0.2
CalPred	0.3966	0.4
CalPred	0.4029	0.4
CalPred	0.4043	0.4
CalPred	0.3945	0.4
CalPred	0.3928	0.4
CalPred	0.4033	0.4
CalPred	0.4037	0.4
CalPred	0.4029	0.4
CalPred	0.4056	0.4
CalPred	0.3898	0.4
CalPred	0.3996	0.4
CalPred	0.4029	0.4
CalPred	0.4084	0.4
CalPred	0.4022	0.4
CalPred	0.4004	0.4
CalPred	0.4001	0.4
CalPred	0.3948	0.4
CalPred	0.3953	0.4
CalPred	0.389	0.4
CalPred	0.4093	0.4
CalPred	0.3983	0.4
CalPred	0.3954	0.4
CalPred	0.3989	0.4
CalPred	0.401	0.4
CalPred	0.3981	0.4
CalPred	0.41	0.4
CalPred	0.4025	0.4
CalPred	0.3881	0.4
CalPred	0.3988	0.4
CalPred	0.4033	0.4
PredInterval	0.4135	0.4
PredInterval	0.421	0.4
PredInterval	0.4328	0.4
PredInterval	0.411	0.4
PredInterval	0.4153	0.4
PredInterval	0.4204	0.4
PredInterval	0.4167	0.4
PredInterval	0.435	0.4
PredInterval	0.4222	0.4
PredInterval	0.4153	0.4
PredInterval	0.4195	0.4
PredInterval	0.4091	0.4
PredInterval	0.4356	0.4
PredInterval	0.4254	0.4
PredInterval	0.4304	0.4
PredInterval	0.4308	0.4
PredInterval	0.408	0.4
PredInterval	0.4185	0.4
PredInterval	0.4133	0.4
PredInterval	0.4268	0.4
PredInterval	0.4226	0.4
PredInterval	0.4171	0.4
PredInterval	0.4278	0.4
PredInterval	0.4205	0.4
PredInterval	0.4107	0.4
PredInterval	0.4238	0.4
PredInterval	0.4163	0.4
PredInterval	0.4023	0.4
PredInterval	0.4198	0.4
PredInterval	0.4145	0.4
CalPred	0.5969	0.6
CalPred	0.6029	0.6
CalPred	0.604	0.6
CalPred	0.5974	0.6
CalPred	0.5922	0.6
CalPred	0.5978	0.6
CalPred	0.6022	0.6
CalPred	0.6041	0.6
CalPred	0.6039	0.6
CalPred	0.5917	0.6
CalPred	0.595	0.6
CalPred	0.5971	0.6
CalPred	0.6105	0.6
CalPred	0.6025	0.6
CalPred	0.6	0.6
CalPred	0.6017	0.6
CalPred	0.595	0.6
CalPred	0.598	0.6
CalPred	0.5915	0.6
CalPred	0.6025	0.6
CalPred	0.5943	0.6
CalPred	0.5923	0.6
CalPred	0.6012	0.6
CalPred	0.6011	0.6
CalPred	0.5907	0.6
CalPred	0.6014	0.6
CalPred	0.6018	0.6
CalPred	0.5882	0.6
CalPred	0.6013	0.6
CalPred	0.6072	0.6
PredInterval	0.6129	0.6
PredInterval	0.6261	0.6
PredInterval	0.6368	0.6
PredInterval	0.6185	0.6
PredInterval	0.6181	0.6
PredInterval	0.6293	0.6
PredInterval	0.6247	0.6
PredInterval	0.6383	0.6
PredInterval	0.6306	0.6
PredInterval	0.6213	0.6
PredInterval	0.6244	0.6
PredInterval	0.6177	0.6
PredInterval	0.6477	0.6
PredInterval	0.631	0.6
PredInterval	0.6372	0.6
PredInterval	0.6352	0.6
PredInterval	0.6202	0.6
PredInterval	0.6292	0.6
PredInterval	0.6242	0.6
PredInterval	0.6341	0.6
PredInterval	0.6276	0.6
PredInterval	0.6249	0.6
PredInterval	0.6334	0.6
PredInterval	0.6245	0.6
PredInterval	0.6126	0.6
PredInterval	0.6239	0.6
PredInterval	0.6252	0.6
PredInterval	0.6082	0.6
PredInterval	0.6355	0.6
PredInterval	0.618	0.6
CalPred	0.7949	0.8
CalPred	0.8036	0.8
CalPred	0.8004	0.8
CalPred	0.7962	0.8
CalPred	0.7898	0.8
CalPred	0.7955	0.8
CalPred	0.8011	0.8
CalPred	0.808	0.8
CalPred	0.7983	0.8
CalPred	0.7953	0.8
CalPred	0.7959	0.8
CalPred	0.8033	0.8
CalPred	0.8104	0.8
CalPred	0.804	0.8
CalPred	0.7972	0.8
CalPred	0.804	0.8
CalPred	0.7982	0.8
CalPred	0.8093	0.8
CalPred	0.7913	0.8
CalPred	0.8023	0.8
CalPred	0.7981	0.8
CalPred	0.7919	0.8
CalPred	0.8	0.8
CalPred	0.8028	0.8
CalPred	0.7977	0.8
CalPred	0.8088	0.8
CalPred	0.8025	0.8
CalPred	0.7876	0.8
CalPred	0.8011	0.8
CalPred	0.8012	0.8
PredInterval	0.8088	0.8
PredInterval	0.8301	0.8
PredInterval	0.8329	0.8
PredInterval	0.8191	0.8
PredInterval	0.8194	0.8
PredInterval	0.8309	0.8
PredInterval	0.8231	0.8
PredInterval	0.8288	0.8
PredInterval	0.821	0.8
PredInterval	0.8232	0.8
PredInterval	0.8206	0.8
PredInterval	0.8143	0.8
PredInterval	0.8401	0.8
PredInterval	0.8308	0.8
PredInterval	0.8287	0.8
PredInterval	0.8301	0.8
PredInterval	0.8199	0.8
PredInterval	0.8257	0.8
PredInterval	0.823	0.8
PredInterval	0.8318	0.8
PredInterval	0.8245	0.8
PredInterval	0.8256	0.8
PredInterval	0.8359	0.8
PredInterval	0.8252	0.8
