adjust	n	seed	col	coverage	r2	length
CalPred*-overfit	0.001	0	marginal	0.9249	0.5752419697767794	0.5968335911319153
CalPred*-overfit	0.001	1	marginal	0.9245	0.5585564484195538	0.6110539330712299
CalPred*-overfit	0.001	2	marginal	0.9225	0.564963762438757	0.5917093866123164
CalPred*-overfit	0.001	3	marginal	0.9259	0.5808924396075589	0.585095698998927
CalPred*-overfit	0.001	4	marginal	0.9167	0.5582253501843117	0.5991772843940593
CalPred*-overfit	0.001	5	marginal	0.9242	0.5676318102292909	0.5980219389473127
CalPred*-overfit	0.001	6	marginal	0.9186	0.5508090432138631	0.5995185116059745
CalPred*-overfit	0.001	7	marginal	0.9247	0.5772150801739108	0.5896318566074026
CalPred*-overfit	0.001	8	marginal	0.9217	0.5889139935462775	0.5794030391549259
CalPred*-overfit	0.001	9	marginal	0.9274	0.5902228758636928	0.5799725424646367
CalPred*-overfit	0.001	10	marginal	0.9229	0.5608062979914644	0.6001691955955393
CalPred*-overfit	0.001	11	marginal	0.9236	0.5526801536678262	0.6059727280019764
CalPred*-overfit	0.001	12	marginal	0.9242	0.5885083114029708	0.5841364868924972
CalPred*-overfit	0.001	13	marginal	0.9283	0.5563340259143916	0.6123528630519106
CalPred*-overfit	0.001	14	marginal	0.9215	0.551896197582367	0.5975144220674959
CalPred*-overfit	0.001	15	marginal	0.9291	0.5607902082100418	0.5967504038291789
CalPred*-overfit	0.001	16	marginal	0.9274	0.5585107510625755	0.607090756755495
CalPred*-overfit	0.001	17	marginal	0.9246	0.5858933581186936	0.5885640661507255
CalPred*-overfit	0.001	18	marginal	0.9234	0.5649470104272025	0.5928625053383583
CalPred*-overfit	0.001	19	marginal	0.9247	0.5053206570445399	0.6336327256107966
CalPred*-overfit	0.001	20	marginal	0.9251	0.5765831649461293	0.5888574253510381
CalPred*-overfit	0.001	21	marginal	0.9235	0.5646410870298815	0.5937300690057199
CalPred*-overfit	0.001	22	marginal	0.9184	0.5539491201882699	0.6022367117557773
CalPred*-overfit	0.001	23	marginal	0.925	0.5461650920035939	0.6094023436219658
CalPred*-overfit	0.001	24	marginal	0.9234	0.5608357445253311	0.5955751106601549
CalPred*-overfit	0.001	25	marginal	0.9224	0.5933347041434449	0.5797171305506906
CalPred*-overfit	0.001	26	marginal	0.9254	0.5417830981165588	0.6100265794668515
CalPred*-overfit	0.001	27	marginal	0.9211	0.5372825290560175	0.6158188863504639
CalPred*-overfit	0.001	28	marginal	0.9245	0.5476431337979183	0.612534824000796
CalPred*-overfit	0.001	29	marginal	0.9258	0.5954932614487257	0.58610861535362
CalPred	0.001	0	marginal	0.9467	0.5752419697767794	0.6519263661685286
CalPred	0.001	1	marginal	0.9501	0.5585564484195538	0.6738064197925778
CalPred	0.001	2	marginal	0.9495	0.564963762438757	0.6513362856485678
CalPred	0.001	3	marginal	0.9551	0.5808924396075589	0.6559331774060182
CalPred	0.001	4	marginal	0.947	0.5582253501843117	0.6598888115008686
CalPred	0.001	5	marginal	0.9446	0.5676318102292909	0.6441936311391367
CalPred	0.001	6	marginal	0.945	0.5508090432138631	0.6637517513000386
CalPred	0.001	7	marginal	0.9543	0.5772150801739108	0.6600644674815783
CalPred	0.001	8	marginal	0.9432	0.5889139935462775	0.6292192815391007
CalPred	0.001	9	marginal	0.9551	0.5902228758636928	0.642248426531646
CalPred	0.001	10	marginal	0.9548	0.5608062979914644	0.6738026647245464
CalPred	0.001	11	marginal	0.9515	0.5526801536678262	0.675244952271256
CalPred	0.001	12	marginal	0.9504	0.5885083114029708	0.6465355832069257
CalPred	0.001	13	marginal	0.9507	0.5563340259143916	0.6695391761304619
CalPred	0.001	14	marginal	0.9499	0.551896197582367	0.6626557454863595
CalPred	0.001	15	marginal	0.9538	0.5607902082100418	0.6653618369213602
CalPred	0.001	16	marginal	0.953	0.5585107510625755	0.6659508219915117
CalPred	0.001	17	marginal	0.9551	0.5858933581186936	0.655908977841577
CalPred	0.001	18	marginal	0.9483	0.5649470104272025	0.6529607623589733
CalPred	0.001	19	marginal	0.9502	0.5053206570445399	0.6997216939183702
CalPred	0.001	20	marginal	0.9515	0.5765831649461293	0.6506122734256119
CalPred	0.001	21	marginal	0.9501	0.5646410870298815	0.6600038745850548
CalPred	0.001	22	marginal	0.9474	0.5539491201882699	0.6716669367449466
CalPred	0.001	23	marginal	0.9478	0.5461650920035939	0.6614719621548837
CalPred	0.001	24	marginal	0.9546	0.5608357445253311	0.6705513739399594
CalPred	0.001	25	marginal	0.952	0.5933347041434449	0.6400817425874605
CalPred	0.001	26	marginal	0.9517	0.5417830981165588	0.6727789793732557
CalPred	0.001	27	marginal	0.9478	0.5372825290560175	0.6775059059084859
CalPred	0.001	28	marginal	0.9535	0.5476431337979183	0.6782493526300916
CalPred	0.001	29	marginal	0.9461	0.5954932614487257	0.6359608659551521
CalPred*-overfit	0.01	0	marginal	0.9204	0.5433485894262078	0.605424597696775
CalPred*-overfit	0.01	1	marginal	0.9224	0.5513019690384902	0.6084238297502651
CalPred*-overfit	0.01	2	marginal	0.9211	0.5441027779324833	0.6120381010166474
CalPred*-overfit	0.01	3	marginal	0.922	0.5490668323230018	0.6020570480684571
CalPred*-overfit	0.01	4	marginal	0.92	0.5324597457555261	0.6120526974554543
CalPred*-overfit	0.01	5	marginal	0.93	0.5525601655138352	0.6100883634288115
CalPred*-overfit	0.01	6	marginal	0.9229	0.536588554234558	0.615397934342988
CalPred*-overfit	0.01	7	marginal	0.9234	0.5386184679446807	0.6104683774989937
CalPred*-overfit	0.01	8	marginal	0.9175	0.5424671339861927	0.6046737409282847
CalPred*-overfit	0.01	9	marginal	0.9259	0.5486704585010451	0.6085141750179679
CalPred*-overfit	0.01	10	marginal	0.9237	0.5355018316651	0.6171417021695336
CalPred*-overfit	0.01	11	marginal	0.9197	0.5491025928173766	0.6054077843739042
CalPred*-overfit	0.01	12	marginal	0.9233	0.5597290964363334	0.605194354748173
CalPred*-overfit	0.01	13	marginal	0.9264	0.5522104308369037	0.6096433856571394
CalPred*-overfit	0.01	14	marginal	0.9228	0.5458765551597936	0.5997081321683833
CalPred*-overfit	0.01	15	marginal	0.9235	0.5429950380411623	0.6111582075938087
CalPred*-overfit	0.01	16	marginal	0.9247	0.5197488180905601	0.6224066261065027
CalPred*-overfit	0.01	17	marginal	0.9255	0.5561184825155976	0.6028899808765977
CalPred*-overfit	0.01	18	marginal	0.9197	0.5471828468741403	0.5998782440764691
CalPred*-overfit	0.01	19	marginal	0.9197	0.5428562158297024	0.6114122109052661
CalPred*-overfit	0.01	20	marginal	0.9259	0.5526520825647624	0.6129787865615413
CalPred*-overfit	0.01	21	marginal	0.9153	0.5472053019212718	0.5953801165761818
CalPred*-overfit	0.01	22	marginal	0.9244	0.5612918368280074	0.5990481764016147
CalPred*-overfit	0.01	23	marginal	0.9244	0.5313246789417985	0.6221249448185342
CalPred*-overfit	0.01	24	marginal	0.923	0.5563813118749243	0.6115880705542838
CalPred*-overfit	0.01	25	marginal	0.924	0.5416750176600623	0.6037635954376822
CalPred*-overfit	0.01	26	marginal	0.9252	0.5517612991485502	0.6113309411405277
CalPred*-overfit	0.01	27	marginal	0.9259	0.5495800804092658	0.6060599826198538
CalPred*-overfit	0.01	28	marginal	0.9269	0.5366574691177061	0.6123533204828492
CalPred*-overfit	0.01	29	marginal	0.9215	0.5454909231269864	0.6083930722013206
CalPred	0.01	0	marginal	0.9489	0.5433485894262078	0.6817570747644871
CalPred	0.01	1	marginal	0.9549	0.5513019690384902	0.6847325837450638
CalPred	0.01	2	marginal	0.9466	0.5441027779324833	0.6743876902094887
CalPred	0.01	3	marginal	0.9516	0.5490668323230018	0.6722768958679588
CalPred	0.01	4	marginal	0.9442	0.5324597457555261	0.668372430738391
CalPred	0.01	5	marginal	0.953	0.5525601655138352	0.6719039219334769
CalPred	0.01	6	marginal	0.9508	0.536588554234558	0.6865670222453686
CalPred	0.01	7	marginal	0.9528	0.5386184679446807	0.6860300100321212
CalPred	0.01	8	marginal	0.9389	0.5424671339861927	0.6578001336389334
CalPred	0.01	9	marginal	0.9513	0.5486704585010451	0.6727828735360005
CalPred	0.01	10	marginal	0.9519	0.5355018316651	0.686079217607423
CalPred	0.01	11	marginal	0.9469	0.5491025928173766	0.6755995316199481
CalPred	0.01	12	marginal	0.9478	0.5597290964363334	0.6670597244899975
CalPred	0.01	13	marginal	0.9519	0.5522104308369037	0.6741193399600773
CalPred	0.01	14	marginal	0.9476	0.5458765551597936	0.6681124858910098
CalPred	0.01	15	marginal	0.9519	0.5429950380411623	0.679494859234215
CalPred	0.01	16	marginal	0.9487	0.5197488180905601	0.6856867898826416
CalPred	0.01	17	marginal	0.9545	0.5561184825155976	0.673900309056192
CalPred	0.01	18	marginal	0.947	0.5471828468741403	0.6641409058537581
CalPred	0.01	19	marginal	0.9477	0.5428562158297024	0.6763155663808985
CalPred	0.01	20	marginal	0.9502	0.5526520825647624	0.6814589975526643
CalPred	0.01	21	marginal	0.9447	0.5472053019212718	0.6658414848572486
CalPred	0.01	22	marginal	0.9487	0.5612918368280074	0.6623531846104693
CalPred	0.01	23	marginal	0.9494	0.5313246789417985	0.6829063671775686
CalPred	0.01	24	marginal	0.9539	0.5563813118749243	0.6801918644710182
CalPred	0.01	25	marginal	0.9508	0.5416750176600623	0.6689790010182983
CalPred	0.01	26	marginal	0.9493	0.5517612991485502	0.6732192547252929
CalPred	0.01	27	marginal	0.9481	0.5495800804092658	0.6621090446198614
CalPred	0.01	28	marginal	0.9541	0.5366574691177061	0.6800795414137986
CalPred	0.01	29	marginal	0.9479	0.5454909231269864	0.6721677409858504
CalPred*-overfit	0.1	0	marginal	0.9157	0.5170187319834937	0.6176317735716789
CalPred*-overfit	0.1	1	marginal	0.9203	0.5388145633607382	0.6119366586629102
CalPred*-overfit	0.1	2	marginal	0.9195	0.5276542715695437	0.6161639556405933
CalPred*-overfit	0.1	3	marginal	0.9188	0.5192099963679444	0.6134275480381082
CalPred*-overfit	0.1	4	marginal	0.923	0.5463756413265846	0.6135469896018941
CalPred*-overfit	0.1	5	marginal	0.9209	0.519295199678731	0.6205674545720486
CalPred*-overfit	0.1	6	marginal	0.9191	0.5084876335915988	0.625904368070269
CalPred*-overfit	0.1	7	marginal	0.9201	0.5248086129633116	0.622164534015221
CalPred*-overfit	0.1	8	marginal	0.921	0.5046604987665854	0.6246483607119722
CalPred*-overfit	0.1	9	marginal	0.9221	0.5224835621680513	0.6210101767651481
CalPred*-overfit	0.1	10	marginal	0.9205	0.521635877284064	0.6215530571848096
CalPred*-overfit	0.1	11	marginal	0.9216	0.5331847971434605	0.6188889236105004
CalPred*-overfit	0.1	12	marginal	0.9212	0.5264328399994324	0.6253508987260992
CalPred*-overfit	0.1	13	marginal	0.9257	0.5250613728777337	0.6172600629661134
CalPred*-overfit	0.1	14	marginal	0.9172	0.5229668136123858	0.6086822895677989
CalPred*-overfit	0.1	15	marginal	0.9204	0.5269298281826604	0.6168556764380649
CalPred*-overfit	0.1	16	marginal	0.9259	0.5335649187999251	0.6146035612579197
CalPred*-overfit	0.1	17	marginal	0.921	0.5434328328031006	0.6126145521656128
CalPred*-overfit	0.1	18	marginal	0.9217	0.5223109453853901	0.6211168821801294
CalPred*-overfit	0.1	19	marginal	0.9227	0.5227913212822656	0.6273067401881824
CalPred*-overfit	0.1	20	marginal	0.9213	0.5256444660660058	0.6198525178973656
CalPred*-overfit	0.1	21	marginal	0.9217	0.5218054991472018	0.6151499585704382
CalPred*-overfit	0.1	22	marginal	0.9227	0.5162702603774953	0.616561983741432
CalPred*-overfit	0.1	23	marginal	0.9203	0.521193469308604	0.6231026879700743
CalPred*-overfit	0.1	24	marginal	0.9202	0.5281358922897155	0.6238090866800101
CalPred*-overfit	0.1	25	marginal	0.9259	0.5149786028859882	0.6197398007860752
CalPred*-overfit	0.1	26	marginal	0.917	0.5043994584983198	0.6228824339886411
CalPred*-overfit	0.1	27	marginal	0.9209	0.5135242654805753	0.6176639790059621
CalPred*-overfit	0.1	28	marginal	0.9243	0.5329960957899611	0.6154189911198606
CalPred*-overfit	0.1	29	marginal	0.9242	0.5324404888670408	0.6159554658289663
CalPred	0.1	0	marginal	0.9495	0.5170187319834937	0.6979489267661394
CalPred	0.1	1	marginal	0.9477	0.5388145633607382	0.679985043473542
CalPred	0.1	2	marginal	0.9491	0.5276542715695437	0.6860120586992765
CalPred	0.1	3	marginal	0.949	0.5192099963679444	0.6830257138609584
CalPred	0.1	4	marginal	0.9506	0.5463756413265846	0.6810955244439961
CalPred	0.1	5	marginal	0.9491	0.519295199678731	0.6859564894725932
CalPred	0.1	6	marginal	0.9476	0.5084876335915988	0.6993140977107296
CalPred	0.1	7	marginal	0.9495	0.5248086129633116	0.6994025688962326
CalPred	0.1	8	marginal	0.9417	0.5046604987665854	0.6823435043556926
CalPred	0.1	9	marginal	0.9496	0.5224835621680513	0.6879193362747328
CalPred	0.1	10	marginal	0.9498	0.521635877284064	0.6891820967248241
CalPred	0.1	11	marginal	0.95	0.5331847971434605	0.69091488049078
CalPred	0.1	12	marginal	0.9499	0.5264328399994324	0.6975564662496859
CalPred	0.1	13	marginal	0.9509	0.5250613728777337	0.6773507578886678
CalPred	0.1	14	marginal	0.9503	0.5229668136123858	0.684965421141724
CalPred	0.1	15	marginal	0.9495	0.5269298281826604	0.6848800304654502
CalPred	0.1	16	marginal	0.953	0.5335649187999251	0.6862197200733801
CalPred	0.1	17	marginal	0.9514	0.5434328328031006	0.6836703873636102
CalPred	0.1	18	marginal	0.9497	0.5223109453853901	0.6906033646330981
CalPred	0.1	19	marginal	0.9476	0.5227913212822656	0.6904449067865214
CalPred	0.1	20	marginal	0.9493	0.5256444660660058	0.6863838789054829
CalPred	0.1	21	marginal	0.9487	0.5218054991472018	0.6880230054637485
CalPred	0.1	22	marginal	0.9495	0.5162702603774953	0.6869080455087905
CalPred	0.1	23	marginal	0.9487	0.521193469308604	0.6858574609309985
CalPred	0.1	24	marginal	0.9512	0.5281358922897155	0.7036343715724273
CalPred	0.1	25	marginal	0.9502	0.5149786028859882	0.6830840589820718
CalPred	0.1	26	marginal	0.9511	0.5043994584983198	0.7045796352996406
CalPred	0.1	27	marginal	0.9462	0.5135242654805753	0.6783103151518296
CalPred	0.1	28	marginal	0.9538	0.5329960957899611	0.6948646982894627
CalPred	0.1	29	marginal	0.9517	0.5324404888670408	0.683369573229377
CalPred*-overfit	1.0	0	marginal	0.9135	0.5040289602424443	0.6203033374961181
CalPred*-overfit	1.0	1	marginal	0.9291	0.5224565193027121	0.6262231287101477
CalPred*-overfit	1.0	2	marginal	0.9229	0.5137491453877019	0.6219126910451197
CalPred*-overfit	1.0	3	marginal	0.92	0.5182281938943945	0.61633226204016
CalPred*-overfit	1.0	4	marginal	0.9248	0.5058666410412967	0.62717658948052
CalPred*-overfit	1.0	5	marginal	0.9189	0.5172213463008056	0.6257843273129955
CalPred*-overfit	1.0	6	marginal	0.9214	0.5056455652298023	0.623949412492099
CalPred*-overfit	1.0	7	marginal	0.9205	0.508824005929338	0.6226396385445436
CalPred*-overfit	1.0	8	marginal	0.9214	0.5227694388683026	0.6173911717077061
CalPred*-overfit	1.0	9	marginal	0.9173	0.5053730052269009	0.6201669641740939
CalPred*-overfit	1.0	10	marginal	0.9176	0.5102973230458558	0.6235933599150265
CalPred*-overfit	1.0	11	marginal	0.9179	0.5306587375989243	0.6168914991825237
CalPred*-overfit	1.0	12	marginal	0.9247	0.5223528036533929	0.6206912984876414
CalPred*-overfit	1.0	13	marginal	0.9275	0.5157359947689151	0.6231368663281762
CalPred*-overfit	1.0	14	marginal	0.9143	0.5225929315914245	0.614675354060785
CalPred*-overfit	1.0	15	marginal	0.9237	0.523476082036097	0.6199935983779346
CalPred*-overfit	1.0	16	marginal	0.9256	0.5020034193868397	0.6288504754014922
CalPred*-overfit	1.0	17	marginal	0.9221	0.5306659581257399	0.6110846280177438
CalPred*-overfit	1.0	18	marginal	0.919	0.511514433540389	0.6228070196831902
CalPred*-overfit	1.0	19	marginal	0.9238	0.5381455673898846	0.6225197597537655
CalPred*-overfit	1.0	20	marginal	0.9275	0.5387732790628093	0.6203302339125655
CalPred*-overfit	1.0	21	marginal	0.9212	0.5280994526758365	0.6181219572457817
CalPred*-overfit	1.0	22	marginal	0.9236	0.5175123737843008	0.6233606347076837
CalPred*-overfit	1.0	23	marginal	0.9227	0.5220304874647008	0.6208447369168282
CalPred*-overfit	1.0	24	marginal	0.9165	0.5241152655581134	0.6201975716748755
CalPred*-overfit	1.0	25	marginal	0.925	0.5311519871787538	0.6160447403000325
CalPred*-overfit	1.0	26	marginal	0.917	0.5012642469443697	0.6266113440696623
CalPred*-overfit	1.0	27	marginal	0.9164	0.5074929583982027	0.6201218697369504
