adjust	coverage	alpha
"CalPred*
"	0.1806	0.2
"CalPred*
"	0.1802	0.2
"CalPred*
"	0.1855	0.2
"CalPred*
"	0.1774	0.2
"CalPred*
"	0.1749	0.2
"CalPred*
"	0.1848	0.2
"CalPred*
"	0.1834	0.2
"CalPred*
"	0.1817	0.2
"CalPred*
"	0.1844	0.2
"CalPred*
"	0.1782	0.2
"CalPred*
"	0.1773	0.2
"CalPred*
"	0.1804	0.2
"CalPred*
"	0.1759	0.2
"CalPred*
"	0.1817	0.2
"CalPred*
"	0.182	0.2
"CalPred*
"	0.1802	0.2
"CalPred*
"	0.1783	0.2
"CalPred*
"	0.1721	0.2
"CalPred*
"	0.1752	0.2
"CalPred*
"	0.1804	0.2
"CalPred*
"	0.1797	0.2
"CalPred*
"	0.1831	0.2
"CalPred*
"	0.1798	0.2
"CalPred*
"	0.1838	0.2
"CalPred*
"	0.1811	0.2
"CalPred*
"	0.1792	0.2
"CalPred*
"	0.1794	0.2
"CalPred*
"	0.1755	0.2
"CalPred*
"	0.1778	0.2
"CalPred*
"	0.1794	0.2
CalPred	0.205	0.2
CalPred	0.1979	0.2
CalPred	0.2026	0.2
CalPred	0.1961	0.2
CalPred	0.1932	0.2
CalPred	0.2034	0.2
CalPred	0.2059	0.2
CalPred	0.2024	0.2
CalPred	0.2037	0.2
CalPred	0.1956	0.2
CalPred	0.196	0.2
CalPred	0.2021	0.2
CalPred	0.1968	0.2
CalPred	0.2019	0.2
CalPred	0.2003	0.2
CalPred	0.2006	0.2
CalPred	0.1979	0.2
CalPred	0.1936	0.2
CalPred	0.193	0.2
CalPred	0.2028	0.2
CalPred	0.2022	0.2
CalPred	0.2009	0.2
CalPred	0.2061	0.2
CalPred	0.2017	0.2
CalPred	0.2006	0.2
CalPred	0.2027	0.2
CalPred	0.2044	0.2
CalPred	0.1942	0.2
CalPred	0.1998	0.2
CalPred	0.2035	0.2
"CalPred*
"	0.3576	0.4
"CalPred*
"	0.3628	0.4
"CalPred*
"	0.3658	0.4
"CalPred*
"	0.3568	0.4
"CalPred*
"	0.3565	0.4
"CalPred*
"	0.3712	0.4
"CalPred*
"	0.369	0.4
"CalPred*
"	0.3657	0.4
"CalPred*
"	0.369	0.4
"CalPred*
"	0.3557	0.4
"CalPred*
"	0.3631	0.4
"CalPred*
"	0.3606	0.4
"CalPred*
"	0.363	0.4
"CalPred*
"	0.3696	0.4
"CalPred*
"	0.3617	0.4
"CalPred*
"	0.3617	0.4
"CalPred*
"	0.3609	0.4
"CalPred*
"	0.3539	0.4
"CalPred*
"	0.3546	0.4
"CalPred*
"	0.3711	0.4
"CalPred*
"	0.3644	0.4
"CalPred*
"	0.3612	0.4
"CalPred*
"	0.3655	0.4
"CalPred*
"	0.3652	0.4
"CalPred*
"	0.3625	0.4
"CalPred*
"	0.3689	0.4
"CalPred*
"	0.3585	0.4
"CalPred*
"	0.3537	0.4
"CalPred*
"	0.3568	0.4
"CalPred*
"	0.3661	0.4
CalPred	0.3966	0.4
CalPred	0.4029	0.4
