method	n	seed	col	coverage	r2	length	group	subgroup
CalPred	10000	0	age_q_0	0.95636025998143	0.1398567881251213	0.9664515210780416	Age	0
CalPred	10000	0	age_q_4	0.9495412844036696	0.1447592639195829	0.8630104781383354	Age	4
CalPred	10000	0	age_q_4	0.9624463519313304	0.1544822771975274	0.8901547447443067	Age	4
CalPred	10000	0	age_q_9	0.9492753623188406	0.126285483948955	0.738527404117407	Age	9
CalPred	10000	0	education_q_1	0.9302325581395348	0.0661475268747532	1.0356601106642749	Education	1
CalPred	10000	0	education_q_4	0.9521440823327616	0.1617370491111232	0.8274832296423271	Education	4
CalPred	10000	0	income_q_1	0.9553072625698324	0.139899682336774	1.0528701521726294	Income	1
CalPred	10000	0	income_q_5	0.9540363074546157	0.1435445274025271	0.8825449791874075	Income	5
CalPred	10000	0	income_q_9	0.94880174291939	0.1329357479537682	0.7514812947005962	Income	9
CalPred	10000	0	marginal	0.9535	0.1674617054801419	0.8727692179701222	Overall	
CalPred	10000	0	sex_q_0	0.9551584625758598	0.1825777249511994	0.949380657099586	Sex	0
CalPred	10000	0	sex_q_1	0.9510816125860374	0.1304150204791577	0.7610536189248962	Sex	1
CalPred	10000	1	age_q_0	0.9614271938283512	0.1915985146626009	0.9689184601809948	Age	0
CalPred	10000	1	age_q_4	0.9460201280878316	0.1495590823198544	0.8720050799318777	Age	4
CalPred	10000	1	age_q_4	0.9444444444444444	0.1353501975074613	0.8912623570914741	Age	4
CalPred	10000	1	age_q_9	0.965482233502538	0.1505900877586063	0.7408996605051206	Age	9
CalPred	10000	1	education_q_1	0.9534883720930232	0.0491573616929403	1.034113307253879	Education	1
CalPred	10000	1	education_q_4	0.9558849171752396	0.1688884370592401	0.8309099975997124	Education	4
CalPred	10000	1	income_q_1	0.944141689373297	0.1114689948902453	1.0533896676468308	Income	1
CalPred	10000	1	income_q_5	0.9581049334377448	0.1560366613094067	0.8815895390881804	Income	5
CalPred	10000	1	income_q_9	0.941427050053248	0.1224287893558439	0.7593947118422834	Income	9
CalPred	10000	1	marginal	0.9553	0.1719136840707348	0.8774416751431643	Overall	
CalPred	10000	1	sex_q_0	0.9595959595959596	0.1881470868813044	0.9539141960496756	Sex	0
CalPred	10000	1	sex_q_1	0.9487503155768744	0.1340876903497489	0.7608505229708789	Sex	1
CalPred	10000	2	age_q_0	0.9558964525407478	0.1404498208427838	0.9719180501772654	Age	0
CalPred	10000	2	age_q_4	0.9493783303730018	0.1546114297099601	0.8667162177353839	Age	4
CalPred	10000	2	age_q_4	0.9383783783783785	0.1520858362368146	0.8967207060524746	Age	4
CalPred	10000	2	age_q_9	0.9530761209593326	0.1137615317783096	0.7385843116042857	Age	9
CalPred	10000	2	education_q_1	0.9526813880126184	0.1137187678335117	1.0371792558758934	Education	1
CalPred	10000	2	education_q_4	0.946737455043672	0.1650144622769819	0.8277479120378927	Education	4
CalPred	10000	2	income_q_1	0.9547872340425532	0.1280130497047612	1.0509347124854118	Income	1
CalPred	10000	2	income_q_5	0.9490811638591118	0.1432635262852697	0.8835649808894633	Income	5
CalPred	10000	2	income_q_9	0.9429133858267716	0.1726780189825743	0.7510845360729694	Income	9
CalPred	10000	2	marginal	0.95	0.1595660560592078	0.8743449943953203	Overall	
CalPred	10000	2	sex_q_0	0.9521356157553598	0.1739299773151532	0.9515103286980598	Sex	0
CalPred	10000	2	sex_q_1	0.9467737886015566	0.1210112569655985	0.757773611894797	Sex	1
