method	n	seed	col	coverage	r2	length	group	subgroup
CalPred	10000	0	age_q_0	0.9458413926499032	0.11217436752898276	0.7650188225801476	Age	0
CalPred	10000	0	age_q_4	0.953125	0.08807707054204601	0.9317648659182624	Age	4
CalPred	10000	0	age_q_4	0.9536290322580644	0.08807707054204601	0.9192666840152726	Age	4
CalPred	10000	0	age_q_9	0.9472382522671065	0.05046139022415039	0.9600610459281432	Age	9
CalPred	10000	0	education_q_1	0.9615384615384616	0.08964462028777202	1.0569510488355578	Education	1
CalPred	10000	0	education_q_4	0.9514734144778988	0.0738065566093529	0.8792686263726615	Education	4
CalPred	10000	0	income_q_1	0.9595505617977528	0.10641836130455265	1.0050022525791058	Income	1
CalPred	10000	0	income_q_5	0.9579961464354528	0.06425301256036316	0.9280096367801492	Income	5
CalPred	10000	0	income_q_9	0.943992773261066	0.09203695968020897	0.8369186187538367	Income	9
CalPred	10000	0	marginal	0.9542	0.07593114935212539	0.9118057525402512	Overall	
CalPred	10000	0	sex_q_0	0.9568151147098516	0.08942876458830397	0.8792409343384385	Sex	0
CalPred	10000	0	sex_q_1	0.950392927308448	0.05923161604807283	0.9592134741267804	Sex	1
CalPred	10000	1	age_q_0	0.9365671641791044	0.1607214186370628	0.7637094508971437	Age	0
CalPred	10000	1	age_q_4	0.9545823195458232	0.06643240993041938	0.9333549383111444	Age	4
CalPred	10000	1	age_q_4	0.9510416666666668	0.06643240993041938	0.923075989830358	Age	4
CalPred	10000	1	age_q_9	0.9520605550883096	0.05179460277776719	0.9615173627805474	Age	9
CalPred	10000	1	education_q_1	0.98	0.05080319222785941	1.0431706358442967	Education	1
CalPred	10000	1	education_q_4	0.952683391552874	0.07490635036422164	0.8800332539696151	Education	4
CalPred	10000	1	income_q_1	0.949260042283298	0.0520554584103246	1.0013116473892223	Income	1
CalPred	10000	1	income_q_5	0.9491916859122402	0.07177543058090204	0.9298804059180452	Income	5
CalPred	10000	1	income_q_9	0.950281425891182	0.066298250984647	0.8403595986334945	Income	9
CalPred	10000	1	marginal	0.9538	0.07382201307787144	0.9109921120361124	Overall	
CalPred	10000	1	sex_q_0	0.9534726904922456	0.09004056148735153	0.8742846663083167	Sex	0
CalPred	10000	1	sex_q_1	0.9542772861356932	0.05386839455376742	0.9645192919911968	Sex	1
CalPred	10000	2	age_q_0	0.9457831325301204	0.15097000961639115	0.7569164666336236	Age	0
CalPred	10000	2	age_q_4	0.9566246056782336	0.058241397759837596	0.9305654351237238	Age	4
CalPred	10000	2	age_q_4	0.9637462235649548	0.058241397759837596	0.9127113180690998	Age	4
CalPred	10000	2	age_q_9	0.9426699426699426	0.06301973718578589	0.9639492207808332	Age	9
CalPred	10000	2	education_q_1	0.9523809523809524	0.030115250990428666	1.0547358280530554	Education	1
CalPred	10000	2	education_q_4	0.951434524763584	0.0813588360107003	0.8775301092408941	Education	4
CalPred	10000	2	income_q_1	0.9502164502164502	0.11532672616859628	0.9991183714379198	Income	1
CalPred	10000	2	income_q_5	0.9550909794812232	0.07321560074777039	0.9283228844645512	Income	5
CalPred	10000	2	income_q_9	0.9519927536231884	0.10885991245406643	0.8419254573605842	Income	9
CalPred	10000	2	marginal	0.9509	0.07948284857484265	0.9096296637488122	Overall	
CalPred	10000	2	sex_q_0	0.9502799932122856	0.09356883603921062	0.8729618192091724	Sex	0
CalPred	10000	2	sex_q_1	0.9517896274653032	0.06171633358563571	0.9622431548304036	Sex	1
CalPred	10000	3	age_q_0	0.9340866290018832	0.13129931640542233	0.7539821125409382	Age	0
CalPred	10000	3	age_q_4	0.9433198380566802	0.0749192431531362	0.9302687708278328	Age	4
CalPred	10000	3	age_q_4	0.9536560247167868	0.0749192431531362	0.9164492002757276	Age	4
CalPred	10000	3	age_q_9	0.9536961819658814	0.03666227173079748	0.9618711883058612	Age	9
CalPred	10000	3	education_q_1	0.9574468085106383	0.035242271421005875	1.0438914246057125	Education	1
CalPred	10000	3	education_q_4	0.9502895752895753	0.07392820302808839	0.8783458792443668	Education	4
CalPred	10000	3	income_q_1	0.944206008583691	0.09368895951164195	0.9948364350664116	Income	1
CalPred	10000	3	income_q_5	0.9543186180422264	0.061184963390181875	0.9242949240952418	Income	5
CalPred	10000	3	income_q_9	0.950281425891182	0.0829087220794172	0.8402297112375905	Income	9
CalPred	10000	3	marginal	0.9508	0.06941094576632655	0.9091525813847408	Overall	
