method	n	seed	col	coverage	r2	length	group	subgroup
CalPred	10000	0	age_q_0	0.9516441005802708	0.0253206558922574	0.8223238665946628	Age	0
CalPred	10000	0	age_q_4	0.9457236842105264	0.0339194491383937	0.9736846405818328	Age	4
CalPred	10000	0	age_q_4	0.9516129032258064	0.0090701349127271	0.9653787952335134	Age	4
CalPred	10000	0	age_q_9	0.9455894476504534	0.0398857317442062	0.9688825726121651	Age	9
CalPred	10000	0	education_q_1	0.9567307692307692	0.0328641075064053	1.0576178935508724	Education	1
CalPred	10000	0	education_q_4	0.9557975656630364	0.0547969111363395	0.9289583545296384	Education	4
CalPred	10000	0	income_q_1	0.9483146067415732	0.0440918634994797	1.0242270977230177	Income	1
CalPred	10000	0	income_q_5	0.9560693641618496	0.0470305420082314	0.961886712730278	Income	5
CalPred	10000	0	income_q_9	0.95483288166215	0.0642736997938311	0.9004659360870779	Income	9
CalPred	10000	0	marginal	0.9541	0.0531048896239755	0.9516465771196668	Overall	
CalPred	10000	0	sex_q_0	0.9552968960863698	0.0283522583639877	0.9235257267858182	Sex	0
CalPred	10000	0	sex_q_1	0.9523575638506876	0.0385450015581226	0.992584789491733	Sex	1
CalPred	10000	1	age_q_0	0.9458955223880596	0.0304086336688975	0.845737332229994	Age	0
CalPred	10000	1	age_q_4	0.9497161394971614	0.0320092805683155	0.965013851713748	Age	4
CalPred	10000	1	age_q_4	0.9458333333333332	0.0178434568076473	0.9621466871551184	Age	4
CalPred	10000	1	age_q_9	0.9545836837678722	0.036168409400857	1.0044690346537684	Age	9
CalPred	10000	1	education_q_1	0.98	0.1087821988936168	1.1362264145575296	Education	1
CalPred	10000	1	education_q_4	0.949984121943474	0.0525562525743831	0.910082204017268	Education	4
CalPred	10000	1	income_q_1	0.9619450317124736	0.0583070233188223	1.0612288854421847	Income	1
CalPred	10000	1	income_q_5	0.9480369515011547	0.0585213828208978	0.97332011919098	Income	5
CalPred	10000	1	income_q_9	0.950281425891182	0.0397349257817982	0.8771974580333557	Income	9
CalPred	10000	1	marginal	0.9521	0.0490855269143395	0.9498428080392076	Overall	
CalPred	10000	1	sex_q_0	0.9504383007417396	0.0268626242881094	0.9200367544074184	Sex	0
CalPred	10000	1	sex_q_1	0.9545231071779744	0.0350540846361098	0.9933063061079822	Sex	1
CalPred	10000	2	age_q_0	0.9457831325301204	0.0025001109852403	0.8563384501254621	Age	0
CalPred	10000	2	age_q_4	0.9526813880126184	0.0464071443639689	0.9713459515035432	Age	4
CalPred	10000	2	age_q_4	0.971802618328298	0.0126336478915352	0.9634608345480432	Age	4
CalPred	10000	2	age_q_9	0.941031941031941	0.0331521620580958	0.9850463258576576	Age	9
CalPred	10000	2	education_q_1	0.961904761904762	0.0539378300401503	1.0801108824732824	Education	1
CalPred	10000	2	education_q_4	0.9560827055617888	0.0524101341925341	0.9287445367274404	Education	4
CalPred	10000	2	income_q_1	0.948051948051948	0.0235311993362124	1.0443640624491612	Income	1
CalPred	10000	2	income_q_5	0.9581881533101044	0.0502793003445224	0.9707112723531744	Income	5
CalPred	10000	2	income_q_9	0.9565217391304348	0.0720695957152453	0.8967225151553486	Income	9
CalPred	10000	2	marginal	0.9531	0.044504605118182	0.9560364303810248	Overall	
CalPred	10000	2	sex_q_0	0.9540132360427626	0.0237169583785863	0.9321560538644932	Sex	0
CalPred	10000	2	sex_q_1	0.9517896274653032	0.030390160240543	0.990301601749888	Sex	1
CalPred	10000	3	age_q_0	0.9265536723163842	0.0156936980406064	0.7872183402001409	Age	0
CalPred	10000	3	age_q_4	0.9417004048582996	0.0411041884610412	0.9550807373327987	Age	4
CalPred	10000	3	age_q_4	0.94129763130793	0.0214127300043859	0.945252271474208	Age	4
CalPred	10000	3	age_q_9	0.9471974004874086	0.0377512623531217	0.9737251336739764	Age	9
CalPred	10000	3	education_q_1	0.9414893617021276	0.0419698026186707	1.0401813348064517	Education	1
CalPred	10000	3	education_q_4	0.9491634491634492	0.0573852400494525	0.910941096412568	Education	4
CalPred	10000	3	income_q_1	0.94206008583691	0.0278924507304354	1.014203576339733	Income	1
CalPred	10000	3	income_q_5	0.9547024952015356	0.0608947341011319	0.9477891172301148	Income	5
CalPred	10000	3	income_q_9	0.9465290806754222	0.0543396068349248	0.8734387623086107	Income	9
CalPred	10000	3	marginal	0.9484	0.05124768333657	0.9349726214004936	Overall	
CalPred	10000	3	sex_q_0	0.9488711819389112	0.0305312445365956	0.9035793455228172	Sex	0
CalPred	10000	3	sex_q_1	0.9476861167002012	0.0335737978863517	0.9825362768046992	Sex	1
CalPred	10000	4	age_q_0	0.9521988527724664	0.0295711222044512	0.8530194988695746	Age	0
CalPred	10000	4	age_q_4	0.9555016181229772	0.0327383480564684	0.9731286615316204	Age	4
CalPred	10000	4	age_q_4	0.9515151515151516	0.0376698618189395	0.9648988221945096	Age	4
CalPred	10000	4	age_q_9	0.9482619240097008	0.0586690763580408	0.9831542794490756	Age	9
CalPred	10000	4	education_q_1	0.9585798816568049	0.0531432495838646	1.0972312109219389	Education	1
CalPred	10000	4	education_q_4	0.9554088860270444	0.0639428407999559	0.9299742035609602	Education	4
CalPred	10000	4	income_q_1	0.9624724061810156	0.0352344343642793	1.0589849760385128	Income	1
CalPred	10000	4	income_q_5	0.9544937428896472	0.0447673149268425	0.9705716559793328	Income	5
CalPred	10000	4	income_q_9	0.9565602836879432	0.0631778633574317	0.9025995662434644	Income	9
CalPred	10000	4	marginal	0.9542	0.0546262320407454	0.9579232620373256	Overall	
CalPred	10000	4	sex_q_0	0.9501755559271025	0.0319144586249295	0.9226980735915942	Sex	0
CalPred	10000	4	sex_q_1	0.9601891017666088	0.0395433448216722	1.0103447231206597	Sex	1
CalPred	10000	5	age_q_0	0.962	0.0160083823548509	0.8379585997499567	Age	0
CalPred	10000	5	age_q_4	0.9450726978998384	0.0330142462456226	0.9559379891049222	Age	4
CalPred	10000	5	age_q_4	0.9414784394250514	0.0145058769154464	0.9499848692932414	Age	4
CalPred	10000	5	age_q_9	0.950366151342555	0.0482767664096212	0.9854459009555784	Age	9
CalPred	10000	5	education_q_1	0.9444444444444444	0.0129407319201387	1.0862038693158351	Education	1
CalPred	10000	5	education_q_4	0.9568138195777351	0.0540987752455765	0.916382626238608	Education	4
CalPred	10000	5	income_q_1	0.9406593406593406	0.0162956343872118	1.0404847702419802	Income	1
CalPred	10000	5	income_q_5	0.9518446601941748	0.0381049944583311	0.9610886440382927	Income	5
CalPred	10000	5	income_q_9	0.954136690647482	0.0594784657664344	0.881294806037795	Income	9
CalPred	10000	5	marginal	0.9527	0.0448504520871186	0.9466015716590984	Overall	
CalPred	10000	5	sex_q_0	0.95292922451744	0.0254574001447996	0.9207698236501924	Sex	0
CalPred	10000	5	sex_q_1	0.9523693209574988	0.0302287886690151	0.9838664235742424	Sex	1
CalPred	10000	6	age_q_0	0.9608610567514676	0.0071107891604813	0.8467230460517335	Age	0
CalPred	10000	6	age_q_4	0.9462978030919448	0.0431327445776884	0.9569165651966044	Age	4
CalPred	10000	6	age_q_4	0.95	0.0266707007739854	0.9439474117988867	Age	4
CalPred	10000	6	age_q_9	0.94296875	0.0348008185261381	0.9690199257996072	Age	9
CalPred	10000	6	education_q_1	0.9456521739130436	0.0019991907394977	1.0578380138983814	Education	1
CalPred	10000	6	education_q_4	0.9518983268983268	0.0491467261529829	0.913457541776029	Education	4
CalPred	10000	6	income_q_1	0.9581497797356828	0.0354757077909338	1.0376530890798146	Income	1
CalPred	10000	6	income_q_5	0.95	0.0328842905663507	0.9585924487980008	Income	5
CalPred	10000	6	income_q_9	0.9460916442048516	0.0526706433684383	0.8680883931448354	Income	9
CalPred	10000	6	marginal	0.9508	0.0447239444837473	0.940771576688436	Overall	
CalPred	10000	6	sex_q_0	0.9506131362338316	0.0277274757535811	0.912203635308372	Sex	0
CalPred	10000	6	sex_q_1	0.9510748702742772	0.0281715255118988	0.9827940513698104	Sex	1
CalPred	10000	7	age_q_0	0.9282945736434108	0.0072044621552963	0.8309127258314353	Age	0
CalPred	10000	7	age_q_4	0.9516539440203562	0.0284356474832176	0.9705560440394804	Age	4
CalPred	10000	7	age_q_4	0.9543039319872476	0.0261574516388183	0.9598330662468052	Age	4
CalPred	10000	7	age_q_9	0.9454113924050632	0.0517701503767984	0.970141221695387	Age	9
CalPred	10000	7	education_q_1	0.9438775510204082	0.007566454312129	1.0712395491574205	Education	1
CalPred	10000	7	education_q_4	0.95248	0.054002029253263	0.9224542398526354	Education	4
CalPred	10000	7	income_q_1	0.9668141592920354	0.0166123950325205	1.0469893261590044	Income	1
CalPred	10000	7	income_q_5	0.9468786351298952	0.0460060544867961	0.9619022588569944	Income	5
CalPred	10000	7	income_q_9	0.943119266055046	0.0366431100219528	0.8819595742151319	Income	9
CalPred	10000	7	marginal	0.9505	0.0495796250695595	0.9500184171130244	Overall	
CalPred	10000	7	sex_q_0	0.9535744322960472	0.0254251940467803	0.9268418591876728	Sex	0
CalPred	10000	7	sex_q_1	0.945992601726264	0.0422705531859509	0.9839973657853336	Sex	1
CalPred	10000	8	age_q_0	0.9331941544885176	0.0004726894428471	0.8358033673388744	Age	0
CalPred	10000	8	age_q_4	0.9502407704654896	0.0394742071051879	0.978365987342327	Age	4
CalPred	10000	8	age_q_4	0.953241232731137	0.0119223146263037	0.9672972319499924	Age	4
CalPred	10000	8	age_q_9	0.9473251028806584	0.0517807859593498	0.9804569882949118	Age	9
CalPred	10000	8	education_q_1	0.962566844919786	0.0149324972463907	1.0681448762275256	Education	1
CalPred	10000	8	education_q_4	0.952516619183286	0.0549954238045765	0.933640875544348	Education	4
CalPred	10000	8	income_q_1	0.9494252873563218	0.023868301286154	1.0631537371694135	Income	1
CalPred	10000	8	income_q_5	0.9510545165141264	0.0436951499398879	0.9759577737198996	Income	5
CalPred	10000	8	income_q_9	0.9432234432234432	0.0551872480509127	0.8842649743485503	Income	9
CalPred	10000	8	marginal	0.9507	0.0484400146189995	0.958210501814838	Overall	
CalPred	10000	8	sex_q_0	0.953206530887056	0.0236916128157465	0.9365378263212414	Sex	0
CalPred	10000	8	sex_q_1	0.9470312884947032	0.0312781948634677	0.9899319517058104	Sex	1
CalPred	10000	9	age_q_0	0.950884086444008	0.0026323017691136	0.8200026525319084	Age	0
CalPred	10000	9	age_q_4	0.9352159468438538	0.0216285261138036	0.9608153975521307	Age	4
CalPred	10000	9	age_q_4	0.9322709163346612	0.0242215570672218	0.9457487281191064	Age	4
CalPred	10000	9	age_q_9	0.950597609561753	0.0473804285303998	1.0026851835913004	Age	9
CalPred	10000	9	education_q_1	0.9646464646464646	0.0314213163129922	1.1009136508965844	Education	1
CalPred	10000	9	education_q_4	0.9484057042140682	0.0552170130717982	0.9165572885324892	Education	4
CalPred	10000	9	income_q_1	0.9425531914893616	0.0086820327685696	1.0198983665755232	Income	1
CalPred	10000	9	income_q_5	0.9487785657998424	0.0445349645763551	0.9634569214194854	Income	5
CalPred	10000	9	income_q_9	0.9552656104380244	0.0629864712918851	0.8962097357139112	Income	9
CalPred	10000	9	marginal	0.9494	0.0487126941471245	0.9480848826899864	Overall	
CalPred	10000	9	sex_q_0	0.952073419442556	0.022811001241732	0.9179736032821654	Sex	0
CalPred	10000	9	sex_q_1	0.9455782312925172	0.037609911791127	0.9911302587919348	Sex	1
PredInterval	10000	0	age_q_0	0.97678916827853	0.0177050479074373	1.22127391695396	Age	0
PredInterval	10000	0	age_q_4	0.9523026315789472	0.0202122507730623	1.228101064489218	Age	4
PredInterval	10000	0	age_q_4	0.9516129032258064	0.0065107959242261	1.22748169749347	Age	4
PredInterval	10000	0	age_q_9	0.9497114591920858	0.0291203999116546	1.2270594118061682	Age	9
PredInterval	10000	0	education_q_1	0.908653846153846	0.0041402267634821	1.240848797798163	Education	1
PredInterval	10000	0	education_q_4	0.9657270980140936	0.030318845942	1.22413901126776	Education	4
PredInterval	10000	0	income_q_1	0.9213483146067416	0.0123773379255542	1.2348310928509825	Income	1
PredInterval	10000	0	income_q_5	0.958766859344894	0.0266134552430924	1.2280810090272174	Income	5
PredInterval	10000	0	income_q_9	0.96386630532972	0.0297430146989106	1.2213166347054314	Income	9
PredInterval	10000	0	marginal	0.9591	0.0303267143931383	1.2268893858223078	Overall	
PredInterval	10000	0	sex_q_0	0.9660931174089068	0.0171767032084811	1.2257890433447272	Sex	0
PredInterval	10000	0	sex_q_1	0.948919449901768	0.0190931458255468	1.2284912596452686	Sex	1
PredInterval	10000	1	age_q_0	0.9776119402985076	0.0240819657311618	1.2255784127763316	Age	0
PredInterval	10000	1	age_q_4	0.9578264395782644	0.0135128837525186	1.231611825760002	Age	4
PredInterval	10000	1	age_q_4	0.9635416666666666	0.0169226354598167	1.2319742413093837	Age	4
PredInterval	10000	1	age_q_9	0.9537426408746846	0.0326080036445839	1.2308379045092877	Age	9
PredInterval	10000	1	education_q_1	0.955	0.0451679458745402	1.239656188522903	Education	1
PredInterval	10000	1	education_q_4	0.9666560812956494	0.0294753313161093	1.2288574619935957	Education	4
PredInterval	10000	1	income_q_1	0.949260042283298	0.0541484318246298	1.235996420228008	Income	1
PredInterval	10000	1	income_q_5	0.955735180908391	0.0342154602202728	1.2311184213467226	Income	5
PredInterval	10000	1	income_q_9	0.9718574108818012	0.0079587430689839	1.2276917901978153	Income	9
PredInterval	10000	1	marginal	0.9626	0.0303863216862245	1.230768030440977	Overall	
PredInterval	10000	1	sex_q_0	0.9667902899527984	0.020657373707801	1.2294700845463908	Sex	0
PredInterval	10000	1	sex_q_1	0.9564896755162242	0.0161856328878493	1.2326607086727086	Sex	1
PredInterval	10000	2	age_q_0	0.9759036144578314	0.0003080697778629	1.2182613433278302	Age	0
PredInterval	10000	2	age_q_4	0.9566246056782336	0.0311425249624591	1.223941380799333	Age	4
PredInterval	10000	2	age_q_4	0.9647532729103726	0.0047813082023334	1.2239509314129855	Age	4
PredInterval	10000	2	age_q_9	0.9508599508599508	0.0305359541240048	1.2223743306967851	Age	9
PredInterval	10000	2	education_q_1	0.9333333333333332	0.0199950555303601	1.234945756311948	Education	1
PredInterval	10000	2	education_q_4	0.9634556820003206	0.0286708995842104	1.2210040796018642	Education	4
PredInterval	10000	2	income_q_1	0.9523809523809524	0.0143234224932718	1.2306904636892213	Income	1
PredInterval	10000	2	income_q_5	0.9574138598528844	0.0243867835156992	1.224095436449457	Income	5
PredInterval	10000	2	income_q_9	0.9719202898550724	0.0473101914329978	1.2184949028265175	Income	9
PredInterval	10000	2	marginal	0.9594	0.0252197409996096	1.2231377780027388	Overall	
PredInterval	10000	2	sex_q_0	0.9648735788223316	0.0132668403167542	1.2220264863879569	Sex	0
PredInterval	10000	2	sex_q_1	0.95154614073533	0.0166186067570507	1.224732334001256	Sex	1
PredInterval	10000	3	age_q_0	0.9736346516007532	0.0009147828549524	1.2180836046073251	Age	0
PredInterval	10000	3	age_q_4	0.9546858908341916	0.0103401934254183	1.224152353695188	Age	4
PredInterval	10000	3	age_q_4	0.9449392712550608	0.0169243015560956	1.224747168743862	Age	4
PredInterval	10000	3	age_q_9	0.951259138911454	0.0219142981829624	1.2235927936514597	Age	9
PredInterval	10000	3	education_q_1	0.9202127659574468	0.0133476027735769	1.2327934854479652	Education	1
PredInterval	10000	3	education_q_4	0.9625160875160876	0.0285338896909499	1.221058383065652	Education	4
PredInterval	10000	3	income_q_1	0.927038626609442	0.0113809818760068	1.2284557104823997	Income	1
PredInterval	10000	3	income_q_5	0.9585412667946256	0.030407863669696	1.223574186196564	Income	5
PredInterval	10000	3	income_q_9	0.9699812382739212	0.0151640275424454	1.2193629216958553	Income	9
PredInterval	10000	3	marginal	0.9576	0.0268907028982299	1.2231199120843566	Overall	
PredInterval	10000	3	sex_q_0	0.9633134130146084	0.0152190835113883	1.2220371217756498	Sex	0
PredInterval	10000	3	sex_q_1	0.948943661971831	0.0154840281330714	1.2247604374414114	Sex	1
PredInterval	10000	4	age_q_0	0.9808795411089866	0.0179999624500379	1.2239299433115074	Age	0
PredInterval	10000	4	age_q_4	0.964401294498382	0.0158957619144397	1.2316703318184512	Age	4
PredInterval	10000	4	age_q_4	0.9595959595959596	0.0117677186305943	1.2318388703990748	Age	4
PredInterval	10000	4	age_q_9	0.9490703314470492	0.0435627486932981	1.2304712303005123	Age	9
PredInterval	10000	4	education_q_1	0.940828402366864	0.0463135075763849	1.2398375873410652	Education	1
PredInterval	10000	4	education_q_4	0.9657115260785576	0.0342009098253385	1.2275833707864698	Education	4
PredInterval	10000	4	income_q_1	0.9536423841059604	0.0300384096074487	1.236549422846278	Income	1
PredInterval	10000	4	income_q_5	0.9590443686006824	0.0268212718895835	1.2310427839277522	Income	5
PredInterval	10000	4	income_q_9	0.9680851063829788	0.0261425928711277	1.225336423847795	Income	9
PredInterval	10000	4	marginal	0.9614	0.0340449813703278	1.2301729659580594	Overall	
PredInterval	10000	4	sex_q_0	0.9645544223374016	0.0195700729814475	1.229048782341638	Sex	0
PredInterval	10000	4	sex_q_1	0.9567056481711868	0.0226652640883567	1.2318459548134495	Sex	1
PredInterval	10000	5	age_q_0	0.986	0.0087101736585675	1.220315930134564	Age	0
PredInterval	10000	5	age_q_4	0.9523424878836834	0.0177851414179995	1.22661050387211	Age	4
PredInterval	10000	5	age_q_4	0.946611909650924	0.0110834459518608	1.225371232104984	Age	4
PredInterval	10000	5	age_q_9	0.951993490642799	0.0239219956758168	1.2248392922832445	Age	9
PredInterval	10000	5	education_q_1	0.8939393939393939	0.0092241654624315	1.232555351167391	Education	1
PredInterval	10000	5	education_q_4	0.9683301343570058	0.0263627659521352	1.2229309463532183	Education	4
PredInterval	10000	5	income_q_1	0.9164835164835164	0.0192360787589567	1.230249159485488	Income	1
PredInterval	10000	5	income_q_5	0.9533980582524272	0.0229402745815738	1.2254731705655102	Income	5
PredInterval	10000	5	income_q_9	0.9757194244604316	0.0280268705437656	1.220359461071548	Income	9
PredInterval	10000	5	marginal	0.9588	0.0260553180951072	1.2247659303092673	Overall	
PredInterval	10000	5	sex_q_0	0.9649508973924822	0.0172301789394025	1.223541995478346	Sex	0
PredInterval	10000	5	sex_q_1	0.9499267220322424	0.0138327634434986	1.226531577380938	Sex	1
PredInterval	10000	6	age_q_0	0.9882583170254404	0.013854165189739	1.2173902294872083	Age	0
PredInterval	10000	6	age_q_4	0.951179820992677	0.0251979592395193	1.2244398533103993	Age	4
PredInterval	10000	6	age_q_4	0.9612244897959183	0.0142018982818269	1.223854190118411	Age	4
PredInterval	10000	6	age_q_9	0.95234375	0.0274493466168882	1.223206130922	Age	9
PredInterval	10000	6	education_q_1	0.9184782608695652	0.026690854029436	1.2360062850864342	Education	1
PredInterval	10000	6	education_q_4	0.9655727155727156	0.0289064367602344	1.2201617653239014	Education	4
PredInterval	10000	6	income_q_1	0.9361233480176212	0.0328011169220346	1.2307600954451574	Income	1
PredInterval	10000	6	income_q_5	0.956640625	0.0204463960251367	1.2241949779803163	Income	5
PredInterval	10000	6	income_q_9	0.967654986522911	0.0247100253054494	1.2174213564228684	Income	9
PredInterval	10000	6	marginal	0.9588	0.0275281293072254	1.222980916187412	Overall	
PredInterval	10000	6	sex_q_0	0.9632118259700992	0.016142210431812	1.221454676495573	Sex	0
PredInterval	10000	6	sex_q_1	0.9523103533481592	0.0171247571668641	1.2252259631074809	Sex	1
PredInterval	10000	7	age_q_0	0.9670542635658916	0.0044177344978556	1.2162173264668534	Age	0
PredInterval	10000	7	age_q_4	0.953241232731137	0.0107300315362553	1.2207133544080828	Age	4
PredInterval	10000	7	age_q_4	0.9508057675996608	0.0102282583185594	1.2211455239335252	Age	4
PredInterval	10000	7	age_q_9	0.946993670886076	0.0252201272788929	1.2210513004869303	Age	9
